truck_id,fleet_id,unit_number,make,model,year,plate,vin_stub,mpg,fuel_cost_per_gallon,driver_pay_per_mile,maintenance_cost_per_mile,fixed_cost_per_month,estimated_fuel_cost_per_mile,estimated_total_cost_per_mile,odometer_miles,avg_daily_miles,status,created_at
T0001,1095,1095-001,Mack,Anthem,2012,FL-859I41,TRAVECTIO00001VIN,7.03,4.12,0.99,0.17,2463.42,0.586,1.992,354204,255,active,2025-09-11
T0002,1112,1112-002,Peterbilt,579,2022,NC-792X79,TRAVECTIO00002VIN,6.22,3.99,0.69,0.19,2917.82,0.641,1.813,448029,486,active,2025-09-11
T0003,1039,1039-003,International,LT,2017,GA-130C37,TRAVECTIO00003VIN,8.82,3.81,0.88,0.21,2004.22,0.432,1.722,671604,432,active,2025-09-11
T0004,1011,1011-004,International,LT,2020,FL-674G93,TRAVECTIO00004VIN,6.51,4.21,0.85,0.21,2643.48,0.647,1.971,578000,485,standby,2025-09-11
T0005,1032,1032-005,Volvo,VNL,2014,IN-703I10,TRAVECTIO00005VIN,7.91,4.23,0.77,0.24,2133.15,0.535,1.758,351967,413,active,2025-09-11
T0006,1052,1052-006,Mack,Anthem,2017,VA-384E37,TRAVECTIO00006VIN,6.49,4.01,0.77,0.18,2711.38,0.618,1.839,286817,447,active,2025-09-11
T0007,1097,1097-007,Freightliner,Cascadia,2012,OH-199L54,TRAVECTIO00007VIN,7.32,4.76,0.78,0.19,2076.89,0.65,1.828,639294,371,standby,2025-09-11
T0008,1104,1104-008,Kenworth,T680,2023,GA-847O78,TRAVECTIO00008VIN,7.02,4.21,0.7,0.19,2274.64,0.6,1.717,578835,287,active,2025-09-11
T0009,1001,1001-009,Volvo,VNL,2012,WI-400U89,TRAVECTIO00009VIN,6.91,3.75,0.57,0.15,2678.02,0.543,1.531,495265,520,active,2025-09-11
T0010,1060,1060-010,International,LT,2014,AZ-171B94,TRAVECTIO00010VIN,6.75,3.81,0.58,0.07,2952.46,0.564,1.509,502801,334,active,2025-09-11
T0011,1051,1051-011,Kenworth,T680,2012,NY-338D58,TRAVECTIO00011VIN,5.98,4.25,0.68,0.12,2297.52,0.711,1.741,554694,438,active,2025-09-11
T0012,1030,1030-012,Volvo,VNL,2021,NM-473F57,TRAVECTIO00012VIN,6.72,4.65,0.57,0.15,1771.97,0.692,1.589,444529,401,active,2025-09-11
T0013,1011,1011-013,Peterbilt,579,2021,MS-818V92,TRAVECTIO00013VIN,6.61,4.12,0.92,0.18,1699.38,0.623,1.893,584075,410,active,2025-09-11
T0014,1043,1043-014,International,LT,2021,TN-646X41,TRAVECTIO00014VIN,7.17,4.2,0.83,0.25,2379.08,0.586,1.904,473582,443,active,2025-09-11
T0015,1115,1115-015,Volvo,VNL,2017,MS-755W81,TRAVECTIO00015VIN,6.73,4.5,0.97,0.18,1929.44,0.669,2.012,278306,391,active,2025-09-11
T0016,1041,1041-016,Mack,Anthem,2016,NM-886Y17,TRAVECTIO00016VIN,6.26,4.29,0.7,0.09,1938.95,0.685,1.669,395723,161,active,2025-09-11
T0017,1062,1062-017,Freightliner,Cascadia,2023,VA-510I18,TRAVECTIO00017VIN,5.53,4.27,0.8,0.13,2514.32,0.772,1.953,444274,379,active,2025-09-11
T0018,1082,1082-018,International,LT,2022,VA-317U73,TRAVECTIO00018VIN,5.87,4.53,0.72,0.18,2550.94,0.772,1.927,475005,196,shop,2025-09-11
T0019,1046,1046-019,Mack,Anthem,2018,SC-371E41,TRAVECTIO00019VIN,6.6,3.76,0.72,0.27,1799.35,0.57,1.74,526901,328,standby,2025-09-11
T0020,1117,1117-020,International,LT,2015,CA-698N84,TRAVECTIO00020VIN,7.26,4.49,0.76,0.15,2569.85,0.618,1.785,533786,415,shop,2025-09-11
T0021,1116,1116-021,Kenworth,T680,2014,SC-621P21,TRAVECTIO00021VIN,7.52,4.22,0.69,0.25,2619.82,0.561,1.763,473711,566,active,2025-09-11
T0022,1033,1033-022,Freightliner,Cascadia,2013,OK-263Z97,TRAVECTIO00022VIN,6.25,4.61,0.67,0.16,2279.16,0.738,1.796,411558,418,shop,2025-09-11
T0023,1055,1055-023,International,LT,2012,OH-490T69,TRAVECTIO00023VIN,7.22,3.8,1.01,0.27,2190.26,0.526,2.025,502358,383,standby,2025-09-11
T0024,1036,1036-024,Kenworth,T680,2019,NY-111V24,TRAVECTIO00024VIN,6.9,4.21,0.72,0.1,1790.88,0.61,1.609,497906,438,standby,2025-09-11
T0025,1034,1034-025,Kenworth,T680,2023,OK-448D47,TRAVECTIO00025VIN,6.41,4.55,0.57,0.19,1709.69,0.71,1.641,575651,531,shop,2025-09-11
T0026,1002,1002-026,Peterbilt,579,2018,FL-839X43,TRAVECTIO00026VIN,6.43,4.38,0.73,0.22,2184.6,0.681,1.849,528278,238,standby,2025-09-11
T0027,1070,1070-027,Peterbilt,579,2019,MA-208U48,TRAVECTIO00027VIN,7.98,4.48,0.8,0.2,1949.77,0.561,1.756,481280,330,standby,2025-09-11
T0028,1057,1057-028,International,LT,2014,SC-482Y30,TRAVECTIO00028VIN,6.26,3.99,0.82,0.16,2669.09,0.637,1.884,542603,123,standby,2025-09-11
